INPUT_TABLE
Variable ID
ghgCoef

region,supplysector,subsector,technology,year,generic.ghg,uncontrolled.emiss.coef
Africa,Beef,Mixed,FodderHerb_Residue,1990,CH4_AGR,1.380686688
Africa,Beef,Mixed,Pasture_FodderGrass,1990,CH4_AGR,1.380686688
Africa,Beef,Mixed,FeedCrops,1990,CH4_AGR,1.380686688
Africa,Beef,Mixed,Scavenging_Other,1990,CH4_AGR,1.380686688
Africa,Beef,Pastoral,FodderHerb_Residue,1990,CH4_AGR,1.380686688
Africa,Beef,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,1.380686688
Africa,Beef,Pastoral,FeedCrops,1990,CH4_AGR,1.380686688
Africa,Beef,Pastoral,Scavenging_Other,1990,CH4_AGR,1.380686688
Africa,Dairy,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.087402483
Africa,Dairy,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.087402483
Africa,Dairy,Mixed,FeedCrops,1990,CH4_AGR,0.087402483
Africa,Dairy,Mixed,Scavenging_Other,1990,CH4_AGR,0.087402483
Africa,Dairy,Pastoral,FodderHerb_Residue,1990,CH4_AGR,0.087402483
Africa,Dairy,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,0.087402483
Africa,Dairy,Pastoral,FeedCrops,1990,CH4_AGR,0.087402483
Africa,Dairy,Pastoral,Scavenging_Other,1990,CH4_AGR,0.087402483
Africa,Pork,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.023126851
Africa,Pork,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.023126851
Africa,Pork,Mixed,FeedCrops,1990,CH4_AGR,0.023126851
Africa,Pork,Mixed,Scavenging_Other,1990,CH4_AGR,0.023126851
Africa,Poultry,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.003337259
Africa,Poultry,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.003337259
Africa,Poultry,Mixed,FeedCrops,1990,CH4_AGR,0.003337259
Africa,Poultry,Mixed,Scavenging_Other,1990,CH4_AGR,0.003337259
Africa,SheepGoat,Mixed,FodderHerb_Residue,1990,CH4_AGR,1.159321784
Africa,SheepGoat,Mixed,Pasture_FodderGrass,1990,CH4_AGR,1.159321784
Africa,SheepGoat,Mixed,FeedCrops,1990,CH4_AGR,1.159321784
Africa,SheepGoat,Mixed,Scavenging_Other,1990,CH4_AGR,1.159321784
Africa,SheepGoat,Pastoral,FodderHerb_Residue,1990,CH4_AGR,1.159321784
Africa,SheepGoat,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,1.159321784
Africa,SheepGoat,Pastoral,FeedCrops,1990,CH4_AGR,1.159321784
Africa,SheepGoat,Pastoral,Scavenging_Other,1990,CH4_AGR,1.159321784
Australia_NZ,Beef,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.844874599
Australia_NZ,Beef,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.844874599
Australia_NZ,Beef,Mixed,FeedCrops,1990,CH4_AGR,0.844874599
Australia_NZ,Beef,Mixed,Scavenging_Other,1990,CH4_AGR,0.844874599
Australia_NZ,Beef,Pastoral,FodderHerb_Residue,1990,CH4_AGR,0.844874599
Australia_NZ,Beef,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,0.844874599
Australia_NZ,Beef,Pastoral,FeedCrops,1990,CH4_AGR,0.844874599
Australia_NZ,Beef,Pastoral,Scavenging_Other,1990,CH4_AGR,0.844874599
Australia_NZ,Dairy,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.015178204
Australia_NZ,Dairy,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.015178204
Australia_NZ,Dairy,Mixed,FeedCrops,1990,CH4_AGR,0.015178204
Australia_NZ,Dairy,Mixed,Scavenging_Other,1990,CH4_AGR,0.015178204
Australia_NZ,Dairy,Pastoral,FodderHerb_Residue,1990,CH4_AGR,0.015178204
Australia_NZ,Dairy,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,0.015178204
Australia_NZ,Dairy,Pastoral,FeedCrops,1990,CH4_AGR,0.015178204
Australia_NZ,Dairy,Pastoral,Scavenging_Other,1990,CH4_AGR,0.015178204
Australia_NZ,Pork,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.040498612
Australia_NZ,Pork,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.040498612
Australia_NZ,Pork,Mixed,FeedCrops,1990,CH4_AGR,0.040498612
Australia_NZ,Pork,Mixed,Scavenging_Other,1990,CH4_AGR,0.040498612
Australia_NZ,Poultry,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.009018005
Australia_NZ,Poultry,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.009018005
Australia_NZ,Poultry,Mixed,FeedCrops,1990,CH4_AGR,0.009018005
Australia_NZ,Poultry,Mixed,Scavenging_Other,1990,CH4_AGR,0.009018005
Australia_NZ,SheepGoat,Mixed,FodderHerb_Residue,1990,CH4_AGR,1.287468567
Australia_NZ,SheepGoat,Mixed,Pasture_FodderGrass,1990,CH4_AGR,1.287468567
Australia_NZ,SheepGoat,Mixed,FeedCrops,1990,CH4_AGR,1.287468567
Australia_NZ,SheepGoat,Mixed,Scavenging_Other,1990,CH4_AGR,1.287468567
Australia_NZ,SheepGoat,Pastoral,FodderHerb_Residue,1990,CH4_AGR,1.287468567
Australia_NZ,SheepGoat,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,1.287468567
Australia_NZ,SheepGoat,Pastoral,FeedCrops,1990,CH4_AGR,1.287468567
Australia_NZ,SheepGoat,Pastoral,Scavenging_Other,1990,CH4_AGR,1.287468567
Canada,Beef,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.736669107
Canada,Beef,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.736669107
Canada,Beef,Mixed,FeedCrops,1990,CH4_AGR,0.736669107
Canada,Beef,Mixed,Scavenging_Other,1990,CH4_AGR,0.736669107
Canada,Beef,Pastoral,FodderHerb_Residue,1990,CH4_AGR,0.736669107
Canada,Beef,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,0.736669107
Canada,Beef,Pastoral,FeedCrops,1990,CH4_AGR,0.736669107
Canada,Beef,Pastoral,Scavenging_Other,1990,CH4_AGR,0.736669107
Canada,Dairy,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.01724446
Canada,Dairy,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.01724446
Canada,Dairy,Mixed,FeedCrops,1990,CH4_AGR,0.01724446
Canada,Dairy,Mixed,Scavenging_Other,1990,CH4_AGR,0.01724446
Canada,Dairy,Pastoral,FodderHerb_Residue,1990,CH4_AGR,0.01724446
Canada,Dairy,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,0.01724446
Canada,Dairy,Pastoral,FeedCrops,1990,CH4_AGR,0.01724446
Canada,Dairy,Pastoral,Scavenging_Other,1990,CH4_AGR,0.01724446
Canada,Pork,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.042110939
Canada,Pork,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.042110939
Canada,Pork,Mixed,FeedCrops,1990,CH4_AGR,0.042110939
Canada,Pork,Mixed,Scavenging_Other,1990,CH4_AGR,0.042110939
Canada,Poultry,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.012047834
Canada,Poultry,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.012047834
Canada,Poultry,Mixed,FeedCrops,1990,CH4_AGR,0.012047834
Canada,Poultry,Mixed,Scavenging_Other,1990,CH4_AGR,0.012047834
Canada,SheepGoat,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.470118137
Canada,SheepGoat,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.470118137
Canada,SheepGoat,Mixed,FeedCrops,1990,CH4_AGR,0.470118137
Canada,SheepGoat,Mixed,Scavenging_Other,1990,CH4_AGR,0.470118137
Canada,SheepGoat,Pastoral,FodderHerb_Residue,1990,CH4_AGR,0.470118137
Canada,SheepGoat,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,0.470118137
Canada,SheepGoat,Pastoral,FeedCrops,1990,CH4_AGR,0.470118137
Canada,SheepGoat,Pastoral,Scavenging_Other,1990,CH4_AGR,0.470118137
China,Beef,Mixed,FodderHerb_Residue,1990,CH4_AGR,1.051079223
China,Beef,Mixed,Pasture_FodderGrass,1990,CH4_AGR,1.051079223
China,Beef,Mixed,FeedCrops,1990,CH4_AGR,1.051079223
China,Beef,Mixed,Scavenging_Other,1990,CH4_AGR,1.051079223
China,Beef,Pastoral,FodderHerb_Residue,1990,CH4_AGR,1.051079223
China,Beef,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,1.051079223
China,Beef,Pastoral,FeedCrops,1990,CH4_AGR,1.051079223
China,Beef,Pastoral,Scavenging_Other,1990,CH4_AGR,1.051079223
China,Dairy,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.039731478
China,Dairy,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.039731478
China,Dairy,Mixed,FeedCrops,1990,CH4_AGR,0.039731478
China,Dairy,Mixed,Scavenging_Other,1990,CH4_AGR,0.039731478
China,Dairy,Pastoral,FodderHerb_Residue,1990,CH4_AGR,0.039731478
China,Dairy,Pastoral,Pasture_FodderGrass,1990,CH4_AGR,0.039731478
China,Dairy,Pastoral,FeedCrops,1990,CH4_AGR,0.039731478
China,Dairy,Pastoral,Scavenging_Other,1990,CH4_AGR,0.039731478
China,Pork,Mixed,FodderHerb_Residue,1990,CH4_AGR,0.016895294
China,Pork,Mixed,Pasture_FodderGrass,1990,CH4_AGR,0.016895294
China,Pork,Mixed,FeedCrops,1990,CH4_AGR,0.016895294
China,Pork,Mixed,Scavenging_Other,1990,CH4_AGR,0.016895294
