Resources,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
,,,,,1975,,,,,,,,,,,
region,renewresource,output-unit,price-unit,market,price,,,,,,,,,,regionID,
USA,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,1,
Canada,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,2,
Western Europe,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,3,
Japan,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,4,
Australia_NZ,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,5,
Former Soviet Union,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,6,
China,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,7,
Middle East,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,8,
Africa,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,9,
Latin America,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,10,
Southeast Asia,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,11,
Eastern Europe,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,12,
Korea,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,13,
India,OtherMeat_Fish,Mt,1975$/kg,global,1,,,,,,,,,,14,
,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
,,,,,1975,,,,,,,,,,,
region,renewresource,output-unit,price-unit,market,price,,,,,,,,,,,
USA,Residue,Mt,1975$/kg,global,1,,,,,,,,,,1,
Canada,Residue,Mt,1975$/kg,global,1,,,,,,,,,,2,
Western Europe,Residue,Mt,1975$/kg,global,1,,,,,,,,,,3,
Japan,Residue,Mt,1975$/kg,global,1,,,,,,,,,,4,
Australia_NZ,Residue,Mt,1975$/kg,global,1,,,,,,,,,,5,
Former Soviet Union,Residue,Mt,1975$/kg,global,1,,,,,,,,,,6,
China,Residue,Mt,1975$/kg,global,1,,,,,,,,,,7,
Middle East,Residue,Mt,1975$/kg,global,1,,,,,,,,,,8,
Africa,Residue,Mt,1975$/kg,global,1,,,,,,,,,,9,
Latin America,Residue,Mt,1975$/kg,global,1,,,,,,,,,,10,
Southeast Asia,Residue,Mt,1975$/kg,global,1,,,,,,,,,,11,
Eastern Europe,Residue,Mt,1975$/kg,global,1,,,,,,,,,,12,
Korea,Residue,Mt,1975$/kg,global,1,,,,,,,,,,13,
India,Residue,Mt,1975$/kg,global,1,,,,,,,,,,14,
Korea,Residue,Mt,1975$/kg,global,1,,,,,,,,,,13,
India,Residue,Mt,1975$/kg,global,1,,,,,,,,,,14,
,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
,,,,,1975,,,,,,,,,,,
region,renewresource,output-unit,price-unit,market,price,,,,,,,,,,,
USA,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,1,
Canada,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,2,
Western Europe,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,3,
Japan,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,4,
Australia_NZ,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,5,
Former Soviet Union,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,6,
China,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,7,
Middle East,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,8,
Africa,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,9,
Latin America,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,10,
Southeast Asia,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,11,
Eastern Europe,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,12,
Korea,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,13,
India,Scavenging_Other_Rsrc,Mt,1975$/kg,global,1,,,,,,,,,,14,
,,,,,,,,,,,,,,,,
Subresources: supply curves,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
401,,,set this equal to domestic supply (not modeling trade),,,,,,,,,,,,,
,,,cal-production,,,grade 1,grade 2,,grade 3,,grade 4,,grade 5,,,
region,renewresource,sub-renewable-resource,1990,2005,maxSubResource,extractioncost,available,extractioncost,available,extractioncost,available,extractioncost,available,extractioncost,,
USA,OtherMeat_Fish,OtherMeat_Fish,11.37149757,13.67687521,13.67687521,0,0.99,0.990,1.000,1.000,1.500,1.010,10.000,1.020,1,1OtherMeat_Fish
Canada,OtherMeat_Fish,OtherMeat_Fish,1.210035044,1.646128737,1.646128737,0,0.99,0.990,1.000,1.000,1.500,1.010,10.000,1.020,2,2OtherMeat_Fish
Western Europe,OtherMeat_Fish,OtherMeat_Fish,24.06163378,22.47065013,24.06163378,0,0.92,0.990,0.934,1.000,1.500,1.010,10.000,1.020,3,3OtherMeat_Fish
Japan,OtherMeat_Fish,OtherMeat_Fish,14.93931553,11.15793598,14.93931553,0,0.74,0.990,0.747,1.000,1.500,1.010,10.000,1.020,4,4OtherMeat_Fish
Australia_NZ,OtherMeat_Fish,OtherMeat_Fish,1.368525348,1.646467635,1.646467635,0,0.99,0.990,1.000,1.000,1.500,1.010,10.000,1.020,5,5OtherMeat_Fish
Former Soviet Union,OtherMeat_Fish,OtherMeat_Fish,13.31448943,7.594971931,13.31448943,0,0.56,0.990,0.570,1.000,1.500,1.010,10.000,1.020,6,6OtherMeat_Fish
China,OtherMeat_Fish,OtherMeat_Fish,24.49289058,60.27342644,60.27342644,0,0.99,0.990,1.000,1.000,1.500,1.010,10.000,1.020,7,7OtherMeat_Fish
Middle East,OtherMeat_Fish,OtherMeat_Fish,1.582404687,2.184674498,2.184674498,0,0.99,0.990,1.000,1.000,1.500,1.010,10.000,1.020,8,8OtherMeat_Fish
Africa,OtherMeat_Fish,OtherMeat_Fish,9.290756039,11.95938586,11.95938586,0,0.99,0.990,1.000,1.000,1.500,1.010,10.000,1.020,9,9OtherMeat_Fish
Latin America,OtherMeat_Fish,OtherMeat_Fish,10.8001122,12.71070143,12.71070143,0,0.99,0.990,1.000,1.000,1.500,1.010,10.000,1.020,10,10OtherMeat_Fish
Southeast Asia,OtherMeat_Fish,OtherMeat_Fish,12.62520662,20.0464786,20.0464786,0,0.99,0.990,1.000,1.000,1.500,1.010,10.000,1.020,11,11OtherMeat_Fish
