INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
10,,,,,,,,,,,,
,,,price,,,,,,,,,
region,unlimited-resource,capacity-factor,1975,1990,2005,2020,2035,2050,2065,2080,2095,
Africa,global solar resource,0.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
,,,,,,,,,,,,
Delete intermittent supplysector,,,,,,,,,,,,
not reading,,,,,,,,,,,,
removing from core input,,,,,,,,,,,,
19,,,,,,,,,,,,
,,,,,,,,,,,,
region,intermittent-supplysector,,,,,,,,,,,
ALL,SolarAndAuxiliary,,,,,,,,,,,
,,,,,,,,,,,,
Subsector shareweights,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
100,,,,,,,,,,,,
,,,interpolation-rule,,,,,,,,,
region,supplysector,subsector,apply-to,from-year,to-year,interpolation-function,,,,,,
USA,electricity,solar,share-weight,2005,2035,linear,,,,,,
Canada,electricity,solar,share-weight,2005,2035,linear,,,,,,
Western Europe,electricity,solar,share-weight,2020,2095,fixed,,,,,,
Japan,electricity,solar,share-weight,2005,2035,linear,,,,,,
Australia_NZ,electricity,solar,share-weight,2005,2035,linear,,,,,,
Former Soviet Union,electricity,solar,share-weight,2005,2035,linear,,,,,,
China,electricity,solar,share-weight,2005,2035,linear,,,,,,
Middle East,electricity,solar,share-weight,2005,2035,linear,,,,,,
Africa,electricity,solar,share-weight,2020,2095,fixed,,,,,,
Latin America,electricity,solar,share-weight,2005,2035,linear,,,,,,
Southeast Asia,electricity,solar,share-weight,2005,2035,linear,,,,,,
Eastern Europe,electricity,solar,share-weight,2005,2035,linear,,,,,,
Korea,electricity,solar,share-weight,2005,2035,linear,,,,,,
India,electricity,solar,share-weight,2005,2035,linear,,,,,,
,,,,,,,,,,,,
"Subsector shareweights and technology logit exponent (PV, PV_storage, CSP, CSP_storage)",,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
101,,,base year shareweights will be over-written in calibration,,,,,,,,,
,,,sharewt,,,,,,,,,1975 fillout
region,supplysector,subsector,1975,1990,2005,2020,2035,2050,2065,2080,2095,logit-exponent
USA,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
Canada,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
Western Europe,electricity,solar,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,-6
Japan,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
Australia_NZ,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
Former Soviet Union,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
China,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
Middle East,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
Africa,electricity,solar,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,-6
Latin America,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
Southeast Asia,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
Eastern Europe,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
Korea,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
India,electricity,solar,1,1,1,0.25,0.5,0.5,0.5,0.5,0.5,-6
,,,,,,,,,,,,
Intermittent technology energy inputs and efficiencies,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
1000,,,,,,,,,,,,
,,,,,,,,,,,,
region,supplysector,subsector,intermittent-technology,period,minicam-energy-input,efficiency,,,,,,
ALL,electricity,solar,PV,1975,global solar resource,1,,,,,,
ALL,electricity,solar,PV,1990,global solar resource,1,,,,,,
ALL,electricity,solar,PV,2005,global solar resource,1,,,,,,
ALL,electricity,solar,PV,2020,global solar resource,1,,,,,,
ALL,electricity,solar,PV,2035,global solar resource,1,,,,,,
ALL,electricity,solar,PV,2050,global solar resource,1,,,,,,
ALL,electricity,solar,PV,2065,global solar resource,1,,,,,,
ALL,electricity,solar,PV,2080,global solar resource,1,,,,,,
ALL,electricity,solar,PV,2095,global solar resource,1,,,,,,
ALL,electricity,solar,PV,1975,backup_electricity,1,,,,,,
ALL,electricity,solar,PV,1990,backup_electricity,1,,,,,,
ALL,electricity,solar,PV,2005,backup_electricity,1,,,,,,
ALL,electricity,solar,PV,2020,backup_electricity,1,,,,,,
ALL,electricity,solar,PV,2035,backup_electricity,1,,,,,,
ALL,electricity,solar,PV,2050,backup_electricity,1,,,,,,
ALL,electricity,solar,PV,2065,backup_electricity,1,,,,,,
ALL,electricity,solar,PV,2080,backup_electricity,1,,,,,,
ALL,electricity,solar,PV,2095,backup_electricity,1,,,,,,
,,,,,,,,,,,,
"Intermittent tech capacity limit, trial market, and electric market",,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
1001,,,,,,,,,,,,
,,,,,capacity-limit-backup-calculator,,,,,,,
region,supplysector,subsector,intermittent-technology,period,capacity-limit,trial-market-name,electric-sector-name,backup-capital-cost,backup-capacity-factor,,,
ALL,electricity,solar,PV,1975,0.25,renewable,electricity,30,0.05,,,
ALL,electricity,solar,PV,1990,0.25,renewable,electricity,30,0.05,,,
ALL,electricity,solar,PV,2005,0.25,renewable,electricity,30,0.05,,,
ALL,electricity,solar,PV,2020,0.25,renewable,electricity,30,0.05,,,
ALL,electricity,solar,PV,2035,0.25,renewable,electricity,30,0.05,,,
ALL,electricity,solar,PV,2050,0.25,renewable,electricity,30,0.05,,,
ALL,electricity,solar,PV,2065,0.25,renewable,electricity,30,0.05,,,
ALL,electricity,solar,PV,2080,0.25,renewable,electricity,30,0.05,,,
ALL,electricity,solar,PV,2095,0.25,renewable,electricity,30,0.05,,,
,,,,,,,,,,,,
Intermittent tech lifetime,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
1002,,,,,,,,,,,,
,,,,lifetime,,,,,,,,
region,supplysector,subsector,intermittent-technology,1990,2005,2020,2035,2050,2065,2080,2095,
USA,electricity,solar,PV,15,30,30,30,30,30,30,30,
Canada,electricity,solar,PV,15,30,30,30,30,30,30,30,
Western Europe,electricity,solar,PV,15,30,30,30,30,30,30,30,
Japan,electricity,solar,PV,15,30,30,30,30,30,30,30,
Australia_NZ,electricity,solar,PV,15,30,30,30,30,30,30,30,
Former Soviet Union,electricity,solar,PV,15,30,30,30,30,30,30,30,
China,electricity,solar,PV,15,30,30,30,30,30,30,30,
Middle East,electricity,solar,PV,15,30,30,30,30,30,30,30,
Africa,electricity,solar,PV,15,30,30,30,30,30,30,30,
Latin America,electricity,solar,PV,15,30,30,30,30,30,30,30,
Southeast Asia,electricity,solar,PV,15,30,30,30,30,30,30,30,
Eastern Europe,electricity,solar,PV,15,30,30,30,30,30,30,30,
Korea,electricity,solar,PV,15,30,30,30,30,30,30,30,
India,electricity,solar,PV,15,30,30,30,30,30,30,30,
,,,,,,,,,,,,
Intermittent tech cost,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
1003,,,,,,,,,,,,
,,,,input-cost,,,,,,,,
region,supplysector,subsector,intermittent-technology,1990,2005,2020,2035,2050,2065,2080,2095,
USA,electricity,solar,PV,49.78,49.78,31.92,21.95,16.34,13.09,11.30,10.51,
Canada,electricity,solar,PV,61.36,61.36,39.34,27.05,20.14,16.13,13.93,12.96,
Western Europe,electricity,solar,PV,73.53,73.53,47.15,32.42,24.14,19.33,16.69,15.53,
Japan,electricity,solar,PV,79.14,79.14,50.74,34.89,25.98,20.81,17.96,16.72,
Australia_NZ,electricity,solar,PV,68.00,68.00,43.60,29.98,22.32,17.88,15.43,14.36,
Former Soviet Union,electricity,solar,PV,84.97,84.97,54.48,37.47,27.90,22.34,19.29,17.95,
China,electricity,solar,PV,86.32,86.32,55.35,38.06,28.34,22.69,19.59,18.23,
Middle East,electricity,solar,PV,65.12,65.12,41.76,28.71,21.38,17.12,14.78,13.75,
Africa,electricity,solar,PV,48.69,48.69,31.22,21.47,15.98,12.80,11.05,10.28,
Latin America,electricity,solar,PV,39.91,39.91,25.59,17.60,13.10,10.49,9.06,8.43,
Southeast Asia,electricity,solar,PV,32.78,32.78,21.02,14.45,10.76,8.62,7.44,6.92,
Eastern Europe,electricity,solar,PV,40.54,40.54,26.00,17.88,13.31,10.66,9.20,8.56,
Korea,electricity,solar,PV,40.76,40.76,26.13,17.97,13.38,10.72,9.25,8.61,
India,electricity,solar,PV,33.92,33.92,21.75,14.96,11.14,8.92,7.70,7.17,
,,,,,,,,,,,,
Tech-level shareweight (future only),,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
1004,,,,base year shareweights will be over-written in calibration,,,,,,,,
,,,,share-weight,,,,,,,,
region,supplysector,subsector,intermittent-technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Canada,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Western Europe,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Japan,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Australia_NZ,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Former Soviet Union,electricity,solar,PV,1,1,1,1,1,1,1,1,1
China,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Middle East,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Africa,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Latin America,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Southeast Asia,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Eastern Europe,electricity,solar,PV,1,1,1,1,1,1,1,1,1
Korea,electricity,solar,PV,1,1,1,1,1,1,1,1,1
India,electricity,solar,PV,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
PV with storage technology definition,,,,,,,,,,,,
Energy input and efficiency,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
1100,,,,,,,,,,,,
,,,,,,,,,,,,
region,supplysector,subsector,technology,period,minicam-energy-input,efficiency,,,,,,
ALL,electricity,solar,PV_storage,1975,global solar resource,0.96,,,,,,
ALL,electricity,solar,PV_storage,1990,global solar resource,0.96,,,,,,
ALL,electricity,solar,PV_storage,2005,global solar resource,0.96,,,,,,
ALL,electricity,solar,PV_storage,2020,global solar resource,0.96,,,,,,
ALL,electricity,solar,PV_storage,2035,global solar resource,0.96,,,,,,
ALL,electricity,solar,PV_storage,2050,global solar resource,0.96,,,,,,
ALL,electricity,solar,PV_storage,2065,global solar resource,0.96,,,,,,
ALL,electricity,solar,PV_storage,2080,global solar resource,0.96,,,,,,
