"","UCD_region","Subsector","UCD_sector","mode","size.class","variable","unit","UCD_technology","UCD_fuel","Year","Value","ratio","Value_diff"
"1","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"2","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"3","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"4","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"5","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,1.17113269025599,35688.5992968998
"6","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,0.880382467900233,26828.4007323197
"7","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,0.648230381032786,19753.8968156538
"8","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,0.623661255260978,19005.187730816
"9","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.262008184893145,397.506307887068
"10","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.233644008359414,354.473533568286
"11","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.231519959379022,351.251027873239
"12","Africa","Light Duty Cars","Passenger","LDV_4W","Compact Car","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.239720419225231,363.692374000545
"13","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"14","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"15","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"16","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"17","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,0.479561913510439,14613.9657032267
"18","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,0.360503898866485,10985.8424230339
"19","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,0.265440973947824,8088.93529744444
"20","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,0.255380271974052,7782.34974622992
"21","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.0872458224692495,132.365196081435
"22","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.0778008659639495,118.035759044546
"23","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.0770935811883426,116.962700354067
"24","Africa","Light Duty Cars","Passenger","LDV_4W","Mini Car","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.0798242434544866,121.105530761996
"25","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"26","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"27","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"28","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"29","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,1.95266030019792,59504.5391496119
"30","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,1.46788481643638,44731.6973248784
"31","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,1.08081154335144,32936.1910969303
"32","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,1.03984679451952,31687.8487711425
"33","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.286144071276293,434.124122279621
"34","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.255167020101073,387.127219312975
"35","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.252847306222335,383.607860176664
"36","Africa","Light Duty Cars","Passenger","LDV_4W","Multipurpose Vehicle","Operating costs (maintenance)","2005$/veh","BEV","Electricity","X2005",1517.15225251144,0.261803182801874,397.195288502526
"37","Africa","Light Duty Cars","Passenger","LDV_4W","Subcompact Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"38","Africa","Light Duty Cars","Passenger","LDV_4W","Subcompact Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"39","Africa","Light Duty Cars","Passenger","LDV_4W","Subcompact Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"40","Africa","Light Duty Cars","Passenger","LDV_4W","Subcompact Car","Capital costs (infrastructure)","2005$/veh","BEV","Electricity","X2005",1735.4230313639,1,1735.4230313639
"41","Africa","Light Duty Cars","Passenger","LDV_4W","Subcompact Car","Capital costs (purchase)","2005$/veh","BEV","Electricity","X2005",30473.5745093914,0.88060752644795,26835.2590707425
