Region: USA,Input coefficients calculated from 1998 enduse proportions,,,,,,,,,,,,,
IndustrySupplySector ,,,,,,,,enduse supplysector list,,,,,,
INPUT_TABLE,,,,,,,,boilers pulp paper and wood,,,,,,
Variable ID,,,,,,,,boilers general,,,,,,
111,,,,,,,,process heat primary metals,,,,,,
,,,,,,,,process heat general,,,,,,
supplysector,subsector,technology,period,minicam-energy-input,coefficient,,,machine drive,,,,,,
food processing,food processing,food processing,2005,boilers general,0.475652663,,,hvac,,,,,,
food processing,food processing,food processing,2005,process heat general,0.161536056,,,other end uses petroleum,,,,,,
food processing,food processing,food processing,2005,machine drive,0.148422651,,,other end uses general,,,,,,
food processing,food processing,food processing,2005,hvac,0.071834817,,,electrochemical,,,,,,
food processing,food processing,food processing,2005,other end uses general,0.142553813,,1,feedstocks petroleum,,,,,,
,,,,,,,,feedstocks chemicals,,,,,,
Region: USA,,,,,,,,feedstocks primary metals,,,,,,
IndustrySupplySector ,,,,,,,,all end uses agriculture,,,,,,
INPUT_TABLE,,,,,,,,all end uses mining,,,,,,
Variable ID,,,,,,,,construction energy uses
111,,,,,,,,construction feedstocks
,,,,,,,,limestone feedstocks
supplysector,subsector,technology,period,minicam-energy-input,coefficient,,,
pulp paper and wood,pulp paper and wood,pulp paper and wood,2005,boilers pulp paper and wood,0.703198077,,,
pulp paper and wood,pulp paper and wood,pulp paper and wood,2005,process heat general,0.057612606,,,
pulp paper and wood,pulp paper and wood,pulp paper and wood,2005,machine drive,0.170243923,,,
pulp paper and wood,pulp paper and wood,pulp paper and wood,2005,hvac,0.023650641,,,
pulp paper and wood,pulp paper and wood,pulp paper and wood,2005,other end uses general,0.044463253,,,
pulp paper and wood,pulp paper and wood,pulp paper and wood,2005,electrochemical,0.0008315,,1,

Region: USA,,,,,,,,
IndustrySupplySector ,,,,,,,,
INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
111,,,,,,,,

supplysector,subsector,technology,period,minicam-energy-input,coefficient,,
chemicals,chemicals,chemicals,2005,boilers general,0.172367313,,
chemicals,chemicals,chemicals,2005,process heat general,0.120742669,,
chemicals,chemicals,chemicals,2005,machine drive,0.082717436,,
chemicals,chemicals,chemicals,2005,hvac,0.016280861,,
chemicals,chemicals,chemicals,2005,other end uses general,0.044166506,,
chemicals,chemicals,chemicals,2005,electrochemical,0.025815365,,
chemicals,chemicals,chemicals,2005,feedstocks chemicals,0.537909851,,1

Region: USA,,,,,,,
IndustrySupplySector ,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
111,,,,,,,

supplysector,subsector,technology,period,minicam-energy-input,coefficient,,
petroleum,petroleum,petroleum,2005,boilers general,0.036710286,,
petroleum,petroleum,petroleum,2005,process heat general,0.093212156,,
petroleum,petroleum,petroleum,2005,machine drive,0.028031372,,
petroleum,petroleum,petroleum,2005,hvac,0.00309707,,
petroleum,petroleum,petroleum,2005,other end uses petroleum,0.43869747,,
petroleum,petroleum,petroleum,2005,feedstocks petroleum,0.400251646,,1

Region: USA,,,,,,,
IndustrySupplySector ,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
111,,,,,,,

supplysector,subsector,technology,period,minicam-energy-input,coefficient,,
aluminum,aluminum,aluminum,2005,boilers general,0.062401109,,
aluminum,aluminum,aluminum,2005,process heat primary metals,0.287510484,,
aluminum,aluminum,aluminum,2005,machine drive,0.070727508,,
aluminum,aluminum,aluminum,2005,hvac,0.027336273,,
aluminum,aluminum,aluminum,2005,other end uses general,0.02186797,,
aluminum,aluminum,aluminum,2005,electrochemical,0.396202248,,
aluminum,aluminum,aluminum,2005,feedstocks primary metals,0.133954408,,1

Region: USA,,,,,,,
IndustrySupplySector ,,,,,,,
INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
111,,,,,,,

