# ../aglu-data/LDS//Water_footprint_m3.csv
# Written by LA000.LDS_names.R
# Thu Mar 17 17:34:28 2016
# "  "
# "  "
"iso","GLU","GTAP_crop","water_type","value"
"can",2,"Barley","blue",9638
"rus",9,"Barley","blue",4320
"can",10,"Barley","blue",13298
"dnk",12,"Barley","blue",9
"rus",13,"Barley","blue",324
"rus",14,"Barley","blue",11179
"blr",17,"Barley","blue",1923
"rus",17,"Barley","blue",401487
"kaz",18,"Barley","blue",16174
"rus",18,"Barley","blue",223098112
"rus",20,"Barley","blue",154934
"dnk",21,"Barley","blue",683844
"est",22,"Barley","blue",170
"lva",22,"Barley","blue",24
"rus",22,"Barley","blue",10584
"can",23,"Barley","blue",101473160
"usa",23,"Barley","blue",1680422
"gbr",24,"Barley","blue",2
"blr",25,"Barley","blue",280234
"ltu",25,"Barley","blue",845
"lva",25,"Barley","blue",23
"rus",25,"Barley","blue",12744
"gbr",26,"Barley","blue",247011
"can",27,"Barley","blue",8621
"blr",30,"Barley","blue",395215
"svk",30,"Barley","blue",8
"ukr",30,"Barley","blue",1281
"fra",32,"Barley","blue",96316
"lux",32,"Barley","blue",6
"rus",33,"Barley","blue",40191
"blr",35,"Barley","blue",855516
"ltu",35,"Barley","blue",140
"rus",35,"Barley","blue",14394
"fra",36,"Barley","blue",395048
"chn",37,"Barley","blue",4253
"prk",37,"Barley","blue",148685
"rus",37,"Barley","blue",43816
"kaz",38,"Barley","blue",13882413
"rus",38,"Barley","blue",9054262
"blr",39,"Barley","blue",3200790
"rus",39,"Barley","blue",5551813
"ukr",39,"Barley","blue",61656432
"esp",41,"Barley","blue",3
"fra",41,"Barley","blue",6890711
"chn",42,"Barley","blue",1458419
"kaz",42,"Barley","blue",21333162
"rus",42,"Barley","blue",141212
"chn",43,"Barley","blue",1692517
"rus",43,"Barley","blue",10449251
"fra",44,"Barley","blue",12594493
"aze",45,"Barley","blue",98126
"kaz",45,"Barley","blue",2394887
"rus",45,"Barley","blue",191199376
"fra",46,"Barley","blue",8857330
"mda",47,"Barley","blue",5334
"rus",47,"Barley","blue",102725640
"ukr",47,"Barley","blue",72387704
"rus",48,"Barley","blue",23936906
"mda",49,"Barley","blue",479682
"ukr",49,"Barley","blue",2414208
"jpn",51,"Barley","blue",27742
"afg",52,"Barley","blue",53999616
"irn",52,"Barley","blue",26291812
"tkm",52,"Barley","blue",20438544
"uzb",52,"Barley","blue",2263542
"rus",53,"Barley","blue",203363168
"ukr",53,"Barley","blue",13263196
"aut",54,"Barley","blue",434
"hun",54,"Barley","blue",1176281
"mda",54,"Barley","blue",401409
"rom",54,"Barley","blue",356
"svk",54,"Barley","blue",4627824
"ukr",54,"Barley","blue",5643352
"tur",55,"Barley","blue",1225982
"kaz",56,"Barley","blue",22543714
"rus",56,"Barley","blue",64346588
"afg",58,"Barley","blue",183940064
