# EIA residual fuel oil bunkering by international ships in thousand barrels of oil per day,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
North America,13.29,15.38,325,337.82,330.02,366.59,301.41,243.42,241.01,240.65,246.5,260.62,279.4,232.7,211.86,203.87,146.64,120.59,171.33,164.12,271.2,276.39,297.71,274.57,275.06
Bermuda,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.33,0.33,0.33,0.33
Canada,5.24,7.75,7.86,8.87,8.63,9.28,9.25,8.7,9.84,9.33,9.86,7.03,18.17,16.94,16.55,16.26,18.15,16.22,15.65,10.83,8.26,9.42,11.07,8.88,9.37
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,8.03,7.61,7.38,8.03,9.51,8.03,1.05,2.04,2.62,3.31,3.53,2.92,2.03,2.34,2.32,1.96,2.15,2.1,1.91,1.87,2.01,1.88,1.83,1.81,1.81
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,0,0,309.74,320.92,311.89,349.28,291.1,232.67,228.55,228,233.11,250.66,259.2,213.41,192.99,185.66,126.34,102.28,153.71,151.36,260.87,264.75,284.48,263.55,263.55
Central & South America,86.73,79.98,80.02,72.98,76.14,76.27,82,92.46,99.93,103.84,109.66,124.8,110.31,113.02,136.24,171.38,187.48,184.43,186.51,189.61,197.5,173.89,164.13,207.05,213.84
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.07,0.07
Argentina,3.89,6.4,5.46,7.91,7.22,3.02,4.09,3.65,4.69,3.65,6.81,7.55,7.3,8.32,5.22,6.26,6.53,7.39,6.39,9.73,10.6,12.37,13.19,13.32,18.12
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",3.56,5.84,2.35,2.77,5.57,3.45,2.91,2.92,2.83,2.83,2.82,5.92,2.83,2.83,2.82,2.83,2.83,3.56,3.78,2.83,4.01,4.01,4.01,4.11,4.11
Barbados,0.73,0.64,0.09,0.09,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
