Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QL,Livestock Primary,1,Armenia,5318,Milk Animals,882,"Milk, whole fresh cow",1996,276800,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,882,"Milk, whole fresh cow",1997,277840,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,882,"Milk, whole fresh cow",1998,256000,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,882,"Milk, whole fresh cow",1999,256200,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,882,"Milk, whole fresh cow",2000,252100,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,882,"Milk, whole fresh cow",2001,264920,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,882,"Milk, whole fresh cow",2002,270107,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,882,"Milk, whole fresh cow",2003,280764,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,882,"Milk, whole fresh cow",2004,290995,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,882,"Milk, whole fresh cow",2005,290069,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,982,"Milk, whole fresh sheep",1996,131000,*,Unofficial figure
QL,Livestock Primary,1,Armenia,5318,Milk Animals,982,"Milk, whole fresh sheep",1997,112000,*,Unofficial figure
QL,Livestock Primary,1,Armenia,5318,Milk Animals,982,"Milk, whole fresh sheep",1998,120000,*,Unofficial figure
QL,Livestock Primary,1,Armenia,5318,Milk Animals,982,"Milk, whole fresh sheep",1999,114000,*,Unofficial figure
QL,Livestock Primary,1,Armenia,5318,Milk Animals,982,"Milk, whole fresh sheep",2000,113000,*,Unofficial figure
QL,Livestock Primary,1,Armenia,5318,Milk Animals,982,"Milk, whole fresh sheep",2001,113000,*,Unofficial figure
QL,Livestock Primary,1,Armenia,5318,Milk Animals,982,"Milk, whole fresh sheep",2002,116307,,Official data
QL,Livestock Primary,1,Armenia,5318,Milk Animals,982,"Milk, whole fresh sheep",2003,115900,*,Unofficial figure
QL,Livestock Primary,1,Armenia,5318,Milk Animals,982,"Milk, whole fresh sheep",2004,121800,*,Unofficial figure
QL,Livestock Primary,1,Armenia,5318,Milk Animals,982,"Milk, whole fresh sheep",2005,175000,*,Unofficial figure
QL,Livestock Primary,1,Armenia,5318,Milk Animals,1020,"Milk, whole fresh goat",1996,2000,F,FAO estimate
QL,Livestock Primary,1,Armenia,5318,Milk Animals,1020,"Milk, whole fresh goat",1997,4700,F,FAO estimate
QL,Livestock Primary,1,Armenia,5318,Milk Animals,1020,"Milk, whole fresh goat",1998,6700,F,FAO estimate
QL,Livestock Primary,1,Armenia,5318,Milk Animals,1020,"Milk, whole fresh goat",1999,10200,F,FAO estimate
QL,Livestock Primary,1,Armenia,5318,Milk Animals,1020,"Milk, whole fresh goat",2000,13800,F,FAO estimate
QL,Livestock Primary,1,Armenia,5318,Milk Animals,1020,"Milk, whole fresh goat",2001,19300,F,FAO estimate
QL,Livestock Primary,1,Armenia,5318,Milk Animals,1020,"Milk, whole fresh goat",2002,16100,F,FAO estimate
QL,Livestock Primary,1,Armenia,5318,Milk Animals,1020,"Milk, whole fresh goat",2003,14700,F,FAO estimate
QL,Livestock Primary,1,Armenia,5318,Milk Animals,1020,"Milk, whole fresh goat",2004,20700,F,FAO estimate
QL,Livestock Primary,1,Armenia,5318,Milk Animals,1020,"Milk, whole fresh goat",2005,35500,*,Unofficial figure
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,882,"Milk, whole fresh cow",1996,1800000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,882,"Milk, whole fresh cow",1997,2000000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,882,"Milk, whole fresh cow",1998,2100000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,882,"Milk, whole fresh cow",1999,2400000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,882,"Milk, whole fresh cow",2000,2000000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,882,"Milk, whole fresh cow",2001,1600000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,882,"Milk, whole fresh cow",2002,2600000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,882,"Milk, whole fresh cow",2003,2600000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,882,"Milk, whole fresh cow",2004,2400000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,882,"Milk, whole fresh cow",2005,2600000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,982,"Milk, whole fresh sheep",1996,7000000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,982,"Milk, whole fresh sheep",1997,7600000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,982,"Milk, whole fresh sheep",1998,8100000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,982,"Milk, whole fresh sheep",1999,8800000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,982,"Milk, whole fresh sheep",2000,7500000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,982,"Milk, whole fresh sheep",2001,7000000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,982,"Milk, whole fresh sheep",2002,4400000,F,FAO estimate
QL,Livestock Primary,2,Afghanistan,5318,Milk Animals,982,"Milk, whole fresh sheep",2003,4500000,F,FAO estimate
