# File: FAO_USA_an_Prod_t_PRODSTAT.csv
# Title: FAO USA historical production animal products
# Units: tonnes
# Column types: ciciciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii 
# ----------
countries,country.codes,item,item.codes,element,element.codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States of America,231,Beeswax,1183,Production,5510,2141,2180,2190,2119,2131,2093,1989,1722,2346,1985,1632,1813,1919,1544,1529,1518,1404,1798,1718,1771,1684,1700,1600,1300,1150,1550,1750,1650,1380,1530,1700,1700,1800,1700,1600,1500,1520,1700,1720,1720,1610,1650,1650,1600,1600,1600,1600,1600,1600,1600,1600,1605,1611,1614,1613,1612,1611
United States of America,231,"Hen eggs, in shell",1062,Production,5510,3696600,3764400,3760400,3861900,3882300,3920700,4105500,4036150,3999900,4053400,4126000,4080100,3909500,3880700,3812900,3806000,3811500,3962300,4083300,4126100,4139200,4123000,4021700,3984700,4009400,4036300,4109300,4069000,3997000,4034000,4114000,4190000,4260000,4377000,4428000,4523000,4592000,4725000,4912000,5017000,5099000,5167000,5183000,5283000,5350000,5436000,5395000,5344000,5374000,5437000,5475000,5589000,5778000,5974000,5756587,6046956,6258795
United States of America,231,"Eggs, hen, in shell (number)",1067,Production,5513,62422800,63568800,63500400,65214000,65558400,66207600,69327600,68156400,67544400,68448000,69674400,68899200,66018000,65530800,64626000,64511008,64602000,67157008,69209008,69675600,69896400,69823008,67911008,68222000,68645000,69106000,70356000,69665000,67503000,68134000,69465000,70749000,71936000,73903000,74764000,76377000,77532000,79777000,82946000,84717000,86093000,87252000,87516000,89198000,90343000,91788000,91101000,90239000,90737000,91811000,92450000,94364000,97555000,100879000,97208200,102111500,106688700
United States of America,231,Cattle Hides,919,Production,5510,898326,897014,962980,1025991,1036263,1112076,1086949,1079194,1075476,1076005,1036953,1054178,968293,1032725,1106146,1315602,1235489,1190924,1011924,967706,991874,997153,1051553,1060614,1081296,1067196,1027988,1007848,962719,948952,955442,962243,958990,1013624,1047961,1064670,1063297,1069574,1099146,1116364,1086337,1127585,1093249,1009394,1015986,1076440,1085784,1104271,1102973,1130384,1123459,1123459,1123459,1123459,1123459,,
United States of America,231,"Honey, natural",1182,Production,5510,124316,123734,135783,129230,109701,109577,97876,86813,128039,106401,89732,97798,108450,85230,90350,89811,80781,104987,108268,90608,84335,104300,93000,75000,68000,90897,102899,97130,80266,90130,100200,100560,104640,98500,95454,89850,89147,99930,94000,99945,84335,77890,82431,83272,72927,70238,67286,74293,66413,80042,67294,64544,67812,80862,71008,73429,66968
United States of America,231,Indigenous Cattle Meat,944,Production,5510,7300600,7271506,7791400,8766700,8824800,9251000,9466000,9718000,9821500,10020800,10115800,10298000,9715004,10696486,11252614,12071531,11705300,11146400,9846300,9925500,10199890,10300000,10630000,10823000,10883000,11148000,10734000,10732000,10444000,10166000,10230003,10313740,10225537,10903521,11166220,11476252,11441443,11334700,11763200,11990000,11635000,11815000,11755000,10856000,10807000,11295000,11110000,11409000,11212000,11288880,11266300,10847300,11019600,11019600,11019600,,
United States of America,231,Indigenous Chicken Meat,1094,Production,5510,2614580,2630980,2738660,2816850,3009980,3273417,3355643,3374577,3592622,3845568,3868404,4037791,3936300,3969800,3907210,4333000,4375000,4757800,5239100,5385500,5723300,5770500,5887070,6157560,6410580,6735590,7307490,7577700,8125110,8681100,9209700,9819000,10235500,10980540,11499600,12084200,12509200,12768000,13622000,13947000,14271000,14470000,14699000,15455300,16046300,16222300,16280100,16998000,16338100,16974000,17114000,17183042,17546128,17546128,17546128,,
United States of America,231,Indigenous Duck Meat,1070,Production,5510,19279,19089,21257,21951,21726,21305,22496,22440,21300,21125,20650,21270,22312,23284,22716,26215,26970,29973,33953,33028,36350,39853,40546,40442,44159,47455,48305,51000,45886,44135,42565,39586,44641,43400,41713,45376,49334,49950,49080,52630,56470,52890,50770,79100,85100,86300,60500,54800,51850,54050,56300,55700,56830,56830,56830,,
United States of America,231,Indigenous Horse Meat,1120,Production,5510,13347,12029,10300,8472,15165,15957,17310,19344,16003,23015,16476,20766,58318,67530,68633,80763,92305,95876,79239,80956,67916,38289,24163,24421,30984,51907,71536,85244,94225,104652,93054,79668,57254,43892,32889,29218,30390,25162,38067,37725,39754,35435,43666,22394,31398,32601,46684,62730,62142,68444,72772,70216,70216,70216,70216,,
United States of America,231,Indigenous Pigmeat,1055,Production,5510,5173000,5365200,5636400,5670000,5050000,5143000,5706100,5925100,5876700,6092000,6704700,6168200,5779000,6243587,5214591,5628753,6006200,6060250,6994300,7518500,7190000,6435000,6863500,6620300,6623000,6341600,6486800,7052500,7094000,6897000,7192069,7771898,7686056,7963106,7955180,7532338,7568956,8391500,8558190,8386510,8435000,8700000,8755000,8868000,8952000,9077000,9409000,10090000,9933000,9685000,9820000,9921970,9876740,9876740,9876740,,
United States of America,231,Indigenous Sheep Meat,1012,Production,5510,377840,367816,349990,324316,296000,296000,296000,274000,251000,253000,256570,249604,237800,217491,193586,173721,164000,143460,135870,146825,158350,172200,175800,179800,170600,155900,143500,155900,162740,177450,186788,180919,176653,161078,136986,129302,158298,135120,125570,116410,111040,109800,95500,93600,87200,87500,86500,87000,85270,80837,71664,75264,69971,69971,69971,,
United States of America,231,Indigenous Turkey Meat,1087,Production,5510,678207,586945,612800,659220,687323,759536,848335,730881,728693,784495,804075,866196,865903,857505,796165,917402,882922,908836,998477,1075200,1150460,1121880,1175330,1180030,1278600,1431300,1679200,1759750,1879990,2048560,2089980,2168250,2176540,2239610,2299040,2449050,2454600,2364400,2372300,2419300,2488300,2556000,2528700,2452000,2480000,2584000,2705000,2841000,2581000,2580000,2626000,2705440,2631810,2631810,2631810,,
United States of America,231,Cattle meat,867,Production,5510,7425722,7411207,7885662,8830944,8957042,9360283,9530379,9789000,9888000,10102810,10182188,10374057,9812966,10715610,11271258,12166191,11844596,11281690,9925000,9998990,10353000,10425000,10746000,10927000,10996000,11292000,10884000,10879000,10633000,10465000,10316064,10394989,10471646,10454863,11061317,11441428,11578866,11562083,11684553,12016583,12195753,11890031,12334552,11947637,11180612,11242845,11909626,12030872,12091245,11818953,11969954,11916067,11788608,11698116,10777601,11470607,11907239
United States of America,231,Chicken meat,1058,Production,5510,2607689,2625833,2731519,2809536,3001859,3264941,3347041,3366545,3586536,3839639,3862772,4031054,3940000,3972000,3911000,4379000,4492000,4751000,5233000,5379000,5715000,5764000,5884000,6153000,6407000,6731000,7301000,7572000,8118000,8667000,9177703,9783785,10292718,11046599,11573549,12166760,12600790,12875796,13741001,14072482,14415894,14871856,15082695,15679617,16275452,16331289,16627438,16994092,16334044,16970632,17111218,17035082,17396797,17729278,18402753,18708465,19140744
United States of America,231,Duck meat,1069,Production,5510,19279,19089,21257,21951,21726,21305,22496,22440,21300,21125,20650,21270,22312,23284,22716,26215,26970,29973,33953,33028,36350,39853,40546,40442,44159,47455,48305,51000,45853,44118,42455,39572,44583,43400,42212,44924,47361,49929,49055,52607,56309,53006,53981,58074,61005,60910,59710,52748,49989,52578,54436,53878,55065,59398,62396,61608,60924
United States of America,231,Game meat,1163,Production,5510,217000,202000,205000,215000,217000,220000,222000,224000,226000,229000,231000,230000,236000,238000,235000,230000,230000,230000,230000,220000,220000,215000,215000,200000,200000,200000,200000,200000,200000,195894,199930,206952,205850,215568,220595,218617,218978,228697,233748,233833,231307,238910,235904,228544,230074,239357,245104,250741,249561,248400,248400,252625,254584,256354,258000,259900,260000
United States of America,231,Goat meat,1017,Production,5510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8394,9099,8843,8769,8207,8357,7195,6052,9641,9768,10102,10556,10458,,,11047,12196,12763,12368,11485,11407,10723,10160,9346,8708,8513,8811
United States of America,231,Horse meat,1097,Production,5510,13750,12500,10250,9000,9000,13250,14250,16500,14000,13750,13750,16250,41250,51750,61750,73250,79250,80750,76000,68500,54750,37250,24750,26250,32000,49750,69000,80750,87075,86500,73250,65750,46500,28500,28250,26000,22500,19250,26000,26500,27500,30000,35000,16550,23500,26250,27000,27621,28000,28500,28500,20098,18208,21547,21152,20943,20329
United States of America,231,Pig meat,1035,Production,5510,5174000,5365000,5637000,5676000,5053000,5143257,5706616,5925700,5876258,6090000,6705000,6176600,5783726,6261810,5217646,5631350,6008740,6074960,7008000,7536440,7200740,6454160,6895500,6718600,6715400,6379000,6520000,7114000,7172000,6964000,7257487,7816767,7750542,8027234,8095726,7763696,7835818,8623255,8757065,8596946,8691294,8928976,9056890,9312716,9391823,9558699,9961898,10598969,10441709,10185656,10330715,10554200,10524535,10368227,11120748,11320285,11611177
United States of America,231,Sheep meat,977,Production,5510,377386,366954,349264,324316,295000,294834,293019,273061,249475,249928,251742,246299,233145,210919,185972,168282,159210,140159,132902,144240,153310,165560,170550,172360,162000,153300,143000,152000,157400,164650,164650,157850,152900,139700,130200,121560,118000,113900,112500,106100,101200,101000,92000,88450,84820,83910,82550,81693,80377,76340,69536,72938,73074,72892,70580,70489,68130
United States of America,231,Turkey meat,1080,Production,5510,678207,586945,612800,659220,687189,759335,847991,730733,728465,784044,803922,865982,865500,857300,796000,914000,882700,908500,998500,1075000,1150000,1121300,1174800,1179800,1277800,1431000,1679000,1759500,1876000,2047500,2110074,2190370,2198860,2264435,2326392,2479162,2484740,2395237,2402459,2450391,2522745,2591252,2562959,2473890,2496714,2577194,2699234,2833680,2568881,2560208,2626527,2706704,2633348,2610710,2552231,2713010,2712772
United States of America,231,"Cow milk, whole, fresh",882,Production,5510,57019696,57266448,56790624,57591216,56323872,54390880,53855648,53172096,52665424,53073200,53780352,54442144,52385568,52428656,52343376,54512448,55634624,55093488,55950608,58244000,60223008,61464000,63316000,61439000,64930000,64920000,64731008,65786000,65269000,67005000,66994251,68423068,68327360,69672715,70439286,69855966,70801707,71332863,73749151,75928209,74993355,77139301,77268575,77488114,80254574,82454951,84211262,86172596,85820608,87487560,89019796,91009706,91276872,93464549,94618978,96346276,97734736
United States of America,231,"Goat milk, whole, fresh",1020,Production,5510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14286,14539,15025,15483,16384,18148,20341,21964,23605,25216,26801,28423,26810,27205,27988,28380,29997,30912,31821,33392,33694,33699,33704,25597,25850,25671,25805
