# File: EPA_PFC_PV.csv
# Title: EPA PFC emissions from photovoltaics
# Source: EPA Global mitigation of Non-CO2 GHG Gases (https://www.epa.gov/global-mitigation-non-co2-greenhouse-gases/global-non-co2-greenhouse-gas-emission-projections)
# Description: Sector Industrial Processes Photovoltaic Manufacturing
# Units: MtCO2e
# Column types: cnnnnnnnnn
country,1990,1995,2000,2005,2010,2015,2020,2025,2030
Afghanistan,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0.008037553,0.003133856,0.015899255,0.00671057,0.003925272,0.004502634
Austria,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0.003014082,0.018280825,0.112230038,0.047368727,0.027707803,0.031783296
Belize,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0
Brunei,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0.002437443,0.004208626,0.001776327,0.001039043,0.001191874
Burkina Faso,0,0,0,0,0,0,0,0,0
Burma,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0
China,0,0,0.003995169,0.077361447,1.663641529,3.835830963,1.618982175,0.947005373,1.086298769
Colombia,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0,0,0
Congo (Kinshasa),0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0,0,0,0,0
Croatia,0,0,0.000878059,0.001004694,0.000870515,0.001169063,0.000493424,0.000288623,0.000331076
Cuba,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0.013057732,0.018705006,0.007894788,0.004617967,0.005297216
Czechia,0,0,0.000878059,0.001004694,0.000870515,0.001169063,0.000493424,0.000288623,0.000331076
Denmark,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0
France,0,0,0.002282954,0.005023471,0.011316701,0.035071887,0.014802727,0.008658688,0.00993228
Gabon,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0
Germany,0,0,0.000110882,0.002283362,0.00023175,4.64E-05,1.96E-05,1.15E-05,1.32E-05
Ghana,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0.018803134,0.028057509,0.011842182,0.006926951,0.007945824
Grenada,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0
Holy See,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0
India,0,0,0.004390296,0.006178869,0.124744866,0.324765672,0.137073254,0.080179455,0.091972913
Indonesia,0,0,0,0,0.004787835,0.007014377,0.002960545,0.001731738,0.001986456
Iran,0,0,0,0,0,0,0,0,0
Iraq,0,0,0,0,0,0,0,0,0
