# File: EIA_oil_market_prod_state_thousBBL_total.csv
# Title: US crude oil onshore and offshore production by state
# Units: thousand bbl
# Source: EIA https://www.eia.gov/dnav/pet/pet_crd_crpdn_adc_thousBBL_a.htm
# Comments: release data Apr 28 2023
# Column types: innnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Year,U.S. Field Production of Crude Oil thousBBL,Federal Offshore--Gulf of Mexico Field Production of Crude Oil thousBBL,Federal Offshore PADD 5 Field Production of Crude Oil thousBBL,Tennessee Field Production of Crude Oil thousBBL,Virginia Field Production of Crude Oil thousBBL,Nebraska Field Production of Crude Oil thousBBL,Illinois Field Production of Crude Oil thousBBL,Kansas Field Production of Crude Oil thousBBL,Idaho Field Production of Crude Oil thousBBL,Wyoming Field Production of Crude Oil thousBBL,Rocky Mountain (PADD 4) Field Production of Crude Oil thousBBL,West Coast (PADD 5) Field Production of Crude Oil thousBBL,Utah Field Production of Crude Oil thousBBL,Montana Field Production of Crude Oil thousBBL,Arizona Field Production of Crude Oil thousBBL,Michigan Field Production of Crude Oil thousBBL,Alabama Field Production of Crude Oil thousBBL,Louisiana Field Production of Crude Oil thousBBL,Midwest (PADD 2) Field Production of Crude Oil thousBBL,Pennsylvania Field Production of Crude Oil thousBBL,Alaska South Field Production of Crude Oil thousBBL,Arkansas Field Production of Crude Oil thousBBL,South Dakota Field Production of Crude Oil thousBBL,West Virginia Field Production of Crude Oil thousBBL,Colorado Field Production of Crude Oil thousBBL,Gulf Coast (PADD 3) Field Production of Crude Oil thousBBL,California Field Production of Crude Oil thousBBL,Kentucky Field Production of Crude Oil thousBBL,North Dakota Field Production of Crude Oil thousBBL,Oklahoma Field Production of Crude Oil thousBBL,Texas Field Production of Crude Oil thousBBL,Mississippi Field Production of Crude Oil thousBBL,Alaska North Slope Crude Oil Production thousBBL,Florida Field Production of Crude Oil thousBBL,Missouri Field Production of Crude Oil thousBBL,New York Field Production of Crude Oil thousBBL,East Coast (PADD 1) Field Production of Crude Oil thousBBL,Alaska Field Production of Crude Oil thousBBL,Indiana Field Production of Crude Oil thousBBL,Ohio Field Production of Crude Oil thousBBL,New Mexico Field Production of Crude Oil thousBBL,Nevada Field Production of Crude Oil thousBBL
2022,4338766,636224,2650,146,5,1607,6925,28328,37,90939,315514,284917,46429,20576,6,4528,3817,36447,606063,4907,3443,4401,960,16283,157532,3109627,122421,2252,386041,151537,1841754,12656,156169,1214,67,236,22645,159611,1710,21963,574327,229
2021,4107585,623018,3992,157,5,1706,7057,27905,25,85429,293359,298451,35488,18994,6,4339,4289,34719,613107,6253,3462,4211,1028,18241,153423,2876531,134612,2464,405128,143052,1739660,13434,156161,1490,60,147,26137,159623,1523,18688,457200,218
2020,4142277,609865,4569,152,5,1674,7150,28261,1,89056,310778,310842,31001,19085,5,4132,4294,36697,676791,5532,4419,4143,1047,19059,171635,2817634,142221,2265,433564,173217,1773050,14166,159433,1488,62,147,26231,163852,1402,23864,375419,196
2019,4494995,692575,4449,211,6,1910,8243,33206,22,102207,354397,331022,36933,22997,7,5219,4859,45876,817703,6557,5211,4833,1166,17256,192238,2965843,156350,2505,517692,218302,1864287,16878,164737,1937,85,274,26030,169947,1579,27585,336535,268
2018,3997971,641970,4874,210,5,2056,8420,34715,88,87965,315892,340598,37117,21561,10,5511,5887,48087,740715,6478,5563,5004,1273,12739,169160,2579485,160658,2265,460436,201305,1612374,16953,169238,1839,96,221,21282,174801,1684,22743,249211,255
2017,3416125,613707,5714,271,7,2093,8314,35825,91,75745,260952,359964,34438,20721,13,5565,6832,51548,633981,6562,5272,5288,1304,9104,129957,2143439,173403,2477,390604,165879,1275904,17783,175275,1923,116,193,17790,180547,1779,19755,172378,286
2016,3238207,585587,6144,257,7,2195,8639,37944,215,72658,242573,371886,30528,23177,8,5647,8112,57433,615306,6272,5643,5519,1406,7636,115993,1992368,186079,2595,377819,155146,1168696,20386,173735,1934,123,225,16075,179378,1817,21718,146634,277
2015,3446185,552929,11451,296,11,2697,9520,45481,30,86456,274374,389282,37136,28555,37,6563,9694,63738,693975,7088,6686,6229,1663,11572,122196,2067390,201284,2862,429623,166054,1261782,24923,169542,2208,149,286,21164,176229,2219,26848,148095,281
2014,3209589,509941,18509,330,14,3050,9546,49518,0,76091,242557,404778,40909,29896,56,7425,9831,69173,637206,6849,6601,6775,1798,10330,95661,1905273,204766,2626,394620,150500,1160097,24395,174529,2227,196,356,19775,181130,2507,15091,125061,316
2013,2736521,458027,18566,334,10,2808,9539,46846,0,63478,194001,405810,35016,29288,60,7789,10408,72215,519095,5303,5424,6669,1850,7239,66219,1602524,198928,2305,312349,124640,928358,24057,182499,2174,199,366,15092,187923,2399,8038,102789,334
2012,2387700,463272,17678,371,9,3025,9733,43751,0,57808,164273,407710,30210,26494,52,7449,9525,71007,420281,4319,4080,6604,1754,2573,49760,1386037,197211,3198,242354,100999,725940,24137,188322,2135,175,362,9398,192401,2350,5123,85551,368
2011,2071085,480692,19820,296,11,2544,9158,41500,0,54515,144463,421266,26276,24155,37,7038,8373,69278,305716,3431,3737,7938,1634,2146,39517,1191654,196172,2326,152436,82022,529813,24043,201092,2023,118,375,7986,204829,1987,4657,71518,408
2010,2001805,566628,21707,257,12,2331,9067,40470,0,53890,136953,441444,24663,25332,37,6980,7155,67590,252735,3238,3766,5733,1607,1842,33068,1163423,200370,2519,112555,70196,426767,23981,215138,1777,146,381,7251,218904,1835,4772,65569,426
