# File: GTAP_labor_capital_adjustments.csv
# Title: Regional labor-capital cost share adjustments for GTAP data
# Units: Unitless
# Description: Calibration adjustments to labor and capital cost shares by region and commodity type.
# These adjustments replicate the hard-coded logic from commit 6957303b3.
# Logic per row: (1) cl_total = CL_Total_Share * total_multiplier; (2) if condition met:
#   Labor_Ag = cl_total * labor_share (if not NA); Capital_Ag = cl_total * capital_share (if not NA)
#   capital_direct_multiplier applied to original Capital_Ag before shares (only when capital_share is NA)
# Column types: cccddddc
# ----------
region,commodity_type,condition,labor_share,capital_share,total_multiplier,capital_direct_multiplier,notes
USA,livestock,all,NA,NA,1.0,2.5,Capital * 2.5 for all livestock
USA,crops,ratio<1,0.45,NA,1.0,1.0,Labor = 45% of CL when capital < labor
USA,crops,ratio>1,NA,0.55,1.0,1.0,Capital = 55% of CL when capital > labor
Brazil,livestock,ratio>1,0.45,0.44,0.5,1.0,50% total; 45/55 split then cap*0.8 (0.55*0.8=0.44)
Brazil,crops,ratio>1,0.5,0.40,0.8,1.0,80% total; 50/50 split then cap*0.8 (0.5*0.8=0.40)
Colombia,livestock,ratio<1,0.55,0.45,0.52,1.0,52% total; 55/45 split when cap < labor
Colombia,crops,ratio<1,0.666667,0.333333,0.70,1.0,70% total; 2/3 1/3 split when cap < labor
Mexico,livestock,ratio<1,0.55,0.45,1.5,1.0,150% total; 55/45 split when cap < labor
Mexico,crops,ratio<1,0.7,0.3,1.1,1.0,110% total; 70/30 split when cap < labor
Australia_NZ,livestock,ratio<1,0.3,0.7,2.0,1.0,200% total; 30/70 split when cap < labor
Australia_NZ,crops,ratio<1,0.65,0.35,0.9,1.0,90% total; 65/35 split when cap < labor
Indonesia,livestock,ratio<1,0.75,0.25,3.0,1.0,300% total; 75/25 split when cap < labor
Indonesia,crops,ratio<1,0.7,0.3,1.1,1.0,110% total; 70/30 split when cap < labor
India,livestock,ratio<1,0.77,0.23,1.05,1.0,105% total; 77/23 split when cap < labor
India,crops,ratio<1,0.75,0.25,1.2,1.0,120% total; 75/25 split when cap < labor
Pakistan,livestock,ratio<1,0.7,0.3,0.55,1.0,55% total; 70/30 split when cap < labor
Pakistan,crops,ratio<1,0.678,0.322,1.8,1.0,180% total; 67.8/32.2 split when cap < labor
Argentina,livestock,ratio<1,0.45,0.55,0.5,1.0,50% total; 45/55 split when cap < labor
Argentina,crops,ratio<1,0.45,0.55,0.55,1.0,55% total; 45/55 split when cap < labor
Canada,livestock,all,0.34,0.66,1.8,1.0,180% total; unconditional 34/66 split
Canada,crops,all,0.33,0.67,1.0,1.0,100% total; unconditional 33/67 split
Russia,livestock,all,0.45,0.55,1.0,1.0,100% total; unconditional 45/55 split
Russia,crops,all,0.4,0.6,1.0,1.0,100% total; unconditional 40/60 split
EU-15,livestock,all,0.5,0.5,1.0,1.0,100% total; unconditional 50/50 split
EU-15,crops,all,0.5,0.5,1.0,1.0,100% total; unconditional 50/50 split
South Asia,crops,ratio>1,0.2,0.8,1.0,1.0,20/80 split for crops when cap > labor
Africa_Eastern,all,ratio<0.5,0.9,0.1,1.0,1.0,90/10 split when ratio < 0.5
Africa_Southern,all,ratio<0.5,0.9,0.1,1.0,1.0,90/10 split when ratio < 0.5
