# File: pwt91_na.csv
# Title: Penn World Table version 9.1 supplemental National Accounts
# Units: million constant 2011 local currency; xr provides local currency to USD exchange rates
# Description: PWT used to provide macro-economic data for GCAM macroeconomic module.
# Source: DOI: 10.1257/aer.20130954 ; https://www.rug.nl/ggdc/productivity/pwt/?lang=en
# Column types: cinnnnnnn
# ----------
countrycode,year,q_c,q_i,q_g,q_x,q_m,q_gdp,xr
ABW,1970,257.3954095,147.1195107,80.13180988,467.8018933,472.7342598,440.5877982,1.79
ABW,1971,280.7887146,160.4904627,87.41455119,510.3179021,515.6985889,480.6305083,1.79
ABW,1972,306.3082082,175.0765368,95.35919984,556.6980628,562.5677956,524.31249,1.79
ABW,1973,334.1469237,190.9884144,104.0259839,607.2934998,613.6966889,571.9645524,1.79
ABW,1974,364.5156555,208.3463902,113.4801976,662.4871342,669.4721618,623.9474612,1.79
ABW,1975,397.6449431,227.2815391,123.7939099,722.6972373,730.3172476,680.6547757,1.79
ABW,1976,433.7845903,247.9386207,135.0453139,788.3795098,796.6922875,742.5159346,1.79
ABW,1977,473.2083118,270.4723454,147.3176395,860.0305268,869.0978834,809.9992891,1.79
ABW,1978,516.2181121,295.0521614,160.7077458,938.1954993,948.0882053,883.6159007,1.79
ABW,1979,563.1318995,321.8726877,175.3154783,1023.462996,1034.25518,963.9231258,1.79
ABW,1980,614.3092253,351.1228154,191.2407789,1116.476193,1128.243979,1051.529157,1.79
ABW,1981,670.1559602,383.0245115,208.6330187,1217.956169,1230.803414,1147.097132,1.79
ABW,1982,731.0394419,417.8689241,227.599153,1328.644206,1342.655975,1251.350883,1.79
ABW,1983,797.4761867,455.8100158,248.2338839,1449.376965,1464.633609,1365.079654,1.79
ABW,1984,870.0461544,497.1976093,270.8886577,1581.168711,1597.885624,1489.144637,1.79
ABW,1985,948.9334053,542.6010636,295.4836658,1724.804569,1742.982119,1624.485213,1.79
ABW,1986,1035.257799,591.5823076,322.0564847,1881.478763,1901.173272,1772.12616,1.79
ABW,1987,1202.232962,686.6528712,374.5866763,2184.446341,2207.843902,2057.056284,1.79
ABW,1988,1424.860715,816.1908011,443.8314685,2591.083993,2618.12986,2440.669492,1.79
ABW,1989,1599.136958,912.0459423,496.0491631,2905.20315,2934.991814,2736.71879,1.79
ABW,1990,1664.983969,949.5219142,521.1999269,3023.21409,3057.800988,2845.131331,1.79
ABW,1991,1787.310419,1032.822525,556.275136,3258.224899,3289.563286,3071.685539,1.79
ABW,1992,1905.591944,1072.672306,583.7451743,3451.9788,3485.463505,3252.37294,1.79
ABW,1993,2051.586183,1169.707042,659.5831729,3719.255558,3774.99803,3490.046054,1.79
ABW,1994,2159.52123,1298.132186,660.1858684,3984.589242,4000.977978,3776.366066,1.79
ABW,1995,2315.006641,1202.070361,676.030307,4116.080516,4157.016185,3871.030766,1.79
ABW,1996,2326.581611,1376.370634,852.4741967,4227.214544,4356.553299,3919.228505,1.79
ABW,1997,2505.72849,1538.782346,846.506903,4354.031342,4509.032567,4225.493598,1.79
ABW,1998,2615.980503,1515.700585,851.5858986,4419.341367,4612.739923,4507.1913,1.79
ABW,1999,2610.748641,1251.968739,888.2041265,4264.664618,4013.08372,4559.225676,1.79
ABW,2000,2610.748597,1135.535663,950.3784419,4132.460065,3876.639202,4765.031665,1.79
ABW,2001,2623.802371,1051.505929,1084.381784,3901.042528,3744.833382,4623.678436,1.79
ABW,2002,2699.892499,1168.223159,1087.634942,3518.740049,3711.129651,4471.63976,1.79
ABW,2003,2786.289286,1273.363295,1073.495674,3434.290193,3803.90778,4561.157917,1.79
ABW,2004,2850.373687,1328.117925,1083.157156,3777.71954,3891.39789,4922.072184,1.79
ABW,2005,2970.089441,1552.56964,1054.995015,4038.382106,4459.541868,4981.750744,1.79
ABW,2006,3026.521185,1641.06614,1079.259976,3864.731515,4455.082378,5034.324899,1.79
ABW,2007,3144.595401,1684.8092,1131.782751,3755.790588,4513.787899,5136.631101,1.79
ABW,2008,3122.02237,1715.852591,1153.808548,3946.884075,4627.937331,5143.735647,1.79
ABW,2009,2944.911019,1749.718042,1152.114207,4012.962877,4549.663089,4561.157777,1.79
ABW,2010,2814.681973,1460.450148,1213.108469,3446.826325,4202.323423,4407.698299,1.79
ABW,2011,2806,1301,1186,3095,3824,4564,1.79
ABW,2012,2806.000061,1300.999995,1185.999902,3095.000189,3823.99996,4501.4791,1.79
ABW,2013,2918.240099,1194.318075,1208.533852,3280.699972,3839.29619,4690.461948,1.79
ABW,2014,2932.831305,1159.682845,1110.642696,3382.401543,3781.706613,4730.24764,1.79
ABW,2015,2803.786831,1100.538985,1172.838668,3379.019163,3675.819077,4708.933884,1.79
ABW,2016,2694.438967,1092.83517,1135.307857,3389.156344,3547.165276,4698.987451,1.79
ABW,2017,2723.484773,1074.652102,1158.540635,3447.303412,3577.911164,4761.5075,1.79
AFG,1970,243373.2102,53525.50253,15220.78835,3426.413986,8720.163648,549838.8307,0.044998427
AFG,1971,232714.8142,57093.86874,15621.33632,4425.784796,12722.86291,548322.8826,0.044998427
AFG,1972,225905.0941,49957.13742,16422.43061,5282.388384,12294.0035,458391.2286,0.044998427
AFG,1973,250479.0151,49957.13565,17223.52468,6638.67654,13151.72366,471665.5745,0.044998427
AFG,1974,268539.5714,64230.59852,17624.07206,9137.103623,19298.72472,497385.5729,0.044998427
AFG,1975,271500.6133,74222.03419,24433.37225,9636.789191,21728.93306,528249.5941,0.044998427
