# File: EDGAR_C2F6.csv
# Title: C2F6 Emissions by country and main source category
# Units: Gg
# Comments: Date calculated December 15 2011 3:12 pm 
# Years: years 1970 to 2008
# Source:  European Commission Joint Research Centre (JRC)/PBL Netherlands Environmental Assessment Agency. Emission Database for Global Atmospheric Research (EDGAR) release version 4.2.
IPCC_Annex,World_Region,ISO_A3,Name,IPCC,IPCC_description,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Annex_I,Canada,CAN,Canada,2C,Production of metals,1.12E-01,1.16E-01,1.05E-01,1.08E-01,1.17E-01,1.04E-01,7.55E-02,1.16E-01,1.26E-01,1.04E-01,1.22E-01,1.27E-01,1.20E-01,1.18E-01,1.27E-01,1.24E-01,1.23E-01,1.30E-01,1.30E-01,1.31E-01,1.17E-01,1.24E-01,1.15E-01,1.26E-01,1.15E-01,1.06E-01,1.06E-01,9.87E-02,9.48E-02,8.99E-02,8.30E-02,7.44E-02,7.16E-02,7.31E-02,6.85E-02,6.98E-02,7.65E-02,8.06E-02,8.50E-02
Annex_I,Canada,CAN,Canada,2F1,Refrigeration and Air Conditioning,,,,,,,,,,,,,,,,,,,,,,,,,,6.52E-07,9.24E-06,2.86E-05,5.67E-05,5.75E-05,5.90E-05,6.30E-05,6.64E-05,6.91E-05,7.14E-05,7.34E-05,7.70E-05,7.99E-05,8.27E-05
Annex_I,Canada,CAN,Canada,2F7,Semiconductor/Electronics Manufacture,,9.00E-06,1.80E-05,5.40E-05,8.10E-05,9.90E-05,1.35E-04,1.44E-04,1.89E-04,2.61E-04,3.24E-04,3.33E-04,3.51E-04,4.50E-04,6.57E-04,5.49E-04,6.84E-04,8.47E-04,1.18E-03,1.26E-03,1.29E-03,1.29E-03,1.29E-03,1.61E-03,1.77E-03,2.19E-03,1.13E-03,1.32E-03,1.33E-03,1.63E-03,1.80E-03,1.80E-03,1.80E-03,1.80E-03,1.80E-03,1.80E-03,1.80E-03,1.80E-03,1.80E-03
Annex_I,Canada,CAN,Canada,2F9,Other F-gas use,,2.00E-06,4.00E-06,6.00E-06,8.00E-06,1.00E-05,1.20E-05,1.40E-05,1.60E-05,1.80E-05,2.00E-05,2.20E-05,2.40E-05,2.60E-05,2.80E-05,3.00E-05,3.20E-05,3.40E-05,3.60E-05,3.80E-05,4.00E-05,4.20E-05,4.40E-05,4.60E-05,4.80E-05,5.00E-05,5.20E-05,5.40E-05,5.60E-05,5.80E-05,6.00E-05,6.20E-05,6.40E-05,6.60E-05,6.80E-05,7.00E-05,7.20E-05,7.40E-05,7.60E-05
Annex_I,USA,USA,United States,2C,Production of metals,4.52E-01,4.42E-01,4.58E-01,5.04E-01,5.28E-01,4.27E-01,4.68E-01,5.01E-01,5.29E-01,5.55E-01,4.94E-01,4.25E-01,3.26E-01,3.35E-01,3.97E-01,3.54E-01,3.19E-01,3.48E-01,3.97E-01,3.95E-01,4.12E-01,3.98E-01,4.00E-01,3.72E-01,3.42E-01,3.37E-01,3.39E-01,3.35E-01,3.18E-01,3.18E-01,2.86E-01,2.19E-01,2.10E-01,1.97E-01,1.93E-01,1.93E-01,1.89E-01,1.94E-01,1.96E-01
Annex_I,USA,USA,United States,2F7,Semiconductor/Electronics Manufacture,,1.69E-03,3.38E-03,8.44E-03,1.27E-02,1.61E-02,2.26E-02,2.42E-02,3.23E-02,4.36E-02,5.33E-02,5.49E-02,5.77E-02,7.30E-02,1.07E-01,8.86E-02,1.10E-01,1.36E-01,1.89E-01,2.02E-01,2.06E-01,2.06E-01,2.06E-01,2.57E-01,2.83E-01,3.50E-01,3.89E-01,4.11E-01,5.05E-01,5.15E-01,4.15E-01,2.97E-01,3.12E-01,2.95E-01,2.92E-01,2.84E-01,2.47E-01,2.27E-01,2.07E-01
Annex_I,USA,USA,United States,2F9,Other F-gas use,,3.87E-05,7.74E-05,1.16E-04,1.55E-04,1.94E-04,2.32E-04,2.71E-04,3.10E-04,3.48E-04,3.87E-04,4.26E-04,4.65E-04,5.03E-04,5.42E-04,5.81E-04,6.19E-04,6.58E-04,6.97E-04,7.35E-04,7.74E-04,8.13E-04,8.52E-04,8.90E-04,9.29E-04,9.68E-04,1.01E-03,1.05E-03,1.08E-03,1.12E-03,1.16E-03,1.20E-03,1.24E-03,1.28E-03,1.32E-03,1.35E-03,1.39E-03,1.43E-03,1.47E-03
Non-Annex_I,Mexico,MEX,Mexico,2C,Production of metals,2.38E-03,2.79E-03,2.77E-03,2.74E-03,2.88E-03,2.79E-03,2.97E-03,2.99E-03,3.63E-03,3.77E-03,3.84E-03,4.20E-03,4.25E-03,3.54E-03,4.03E-03,4.11E-03,4.04E-03,5.96E-03,5.45E-03,5.33E-03,6.93E-03,5.66E-03,4.17E-03,5.22E-03,8.26E-03,8.68E-03,9.08E-03,1.07E-02,1.52E-02,2.25E-02,2.17E-02,2.10E-02,2.02E-02,1.75E-02,1.75E-02,1.75E-02,1.75E-02,1.75E-02,1.75E-02
Non-Annex_I,Rest Central America,GRD,Grenada,2F9,Other F-gas use,,2.00E-07,4.00E-07,6.00E-07,8.00E-07,1.00E-06,1.20E-06,1.40E-06,1.60E-06,1.80E-06,2.00E-06,2.00E-06,2.50E-06,2.50E-06,3.00E-06,3.00E-06,3.00E-06,3.50E-06,3.50E-06,4.00E-06,4.00E-06,4.00E-06,4.50E-06,4.50E-06,5.00E-06,5.00E-06,5.00E-06,5.50E-06,5.50E-06,6.00E-06,6.00E-06,6.00E-06,6.50E-06,6.50E-06,7.00E-06,7.00E-06,7.30E-06,7.53E-06,7.76E-06
Non-Annex_I,Brazil,BRA,Brazil,2C,Production of metals,3.50E-03,3.60E-03,4.49E-03,7.18E-03,7.84E-03,9.88E-03,1.16E-02,1.40E-02,1.53E-02,2.01E-02,2.39E-02,2.07E-02,2.32E-02,3.02E-02,3.03E-02,5.85E-02,6.82E-02,7.05E-02,7.34E-02,7.45E-02,6.66E-02,5.30E-02,5.16E-02,4.66E-02,4.41E-02,4.49E-02,4.32E-02,4.36E-02,4.40E-02,4.47E-02,4.55E-02,4.04E-02,4.49E-02,5.34E-02,5.58E-02,5.87E-02,6.21E-02,6.36E-02,6.36E-02
Non-Annex_I,Brazil,BRA,Brazil,2F9,Other F-gas use,,4.00E-07,8.00E-07,1.20E-06,1.60E-06,2.00E-06,2.40E-06,2.80E-06,3.20E-06,3.60E-06,4.00E-06,4.50E-06,5.00E-06,5.00E-06,5.50E-06,6.00E-06,6.50E-06,7.00E-06,7.00E-06,7.50E-06,8.00E-06,8.50E-06,9.00E-06,9.00E-06,9.50E-06,1.00E-05,1.05E-05,1.10E-05,1.10E-05,1.15E-05,1.20E-05,1.25E-05,1.30E-05,1.30E-05,1.35E-05,1.40E-05,1.43E-05,1.47E-05,1.50E-05
Non-Annex_I,Rest South America,ARG,Argentina,2C,Production of metals,,,,,2.38E-04,7.48E-03,1.47E-02,1.70E-02,1.68E-02,4.01E-02,4.52E-02,4.56E-02,4.79E-02,4.62E-02,4.73E-02,4.78E-02,5.05E-02,5.24E-02,5.27E-02,5.54E-02,5.58E-02,5.58E-02,4.02E-03,3.29E-03,2.45E-03,2.44E-03,2.41E-03,2.15E-03,2.25E-03,2.11E-03,2.79E-03,2.53E-03,2.50E-03,2.51E-03,2.52E-03,2.51E-03,2.52E-03,2.51E-03,2.87E-03
Non-Annex_I,Rest South America,ARG,Argentina,2F9,Other F-gas use,,1.00E-07,2.00E-07,3.00E-07,4.00E-07,5.00E-07,6.00E-07,7.00E-07,8.00E-07,9.00E-07,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.50E-06,2.50E-06,2.50E-06,2.50E-06,2.50E-06,2.50E-06,3.00E-06,2.83E-06,2.90E-06,2.98E-06
Non-Annex_I,Rest South America,CHL,Chile,2F9,Other F-gas use,,2.00E-07,4.00E-07,6.00E-07,8.00E-07,1.00E-06,1.20E-06,1.40E-06,1.60E-06,1.80E-06,2.00E-06,2.00E-06,2.50E-06,2.50E-06,3.00E-06,3.00E-06,3.00E-06,3.50E-06,3.50E-06,4.00E-06,4.00E-06,4.00E-06,4.50E-06,4.50E-06,5.00E-06,5.00E-06,5.00E-06,5.50E-06,5.50E-06,6.00E-06,6.00E-06,6.00E-06,6.50E-06,6.50E-06,7.00E-06,7.00E-06,7.30E-06,7.53E-06,7.76E-06
Non-Annex_I,Rest South America,COL,Colombia,2F9,Other F-gas use,,2.00E-07,4.00E-07,6.00E-07,8.00E-07,1.00E-06,1.20E-06,1.40E-06,1.60E-06,1.80E-06,2.00E-06,2.00E-06,2.50E-06,2.50E-06,3.00E-06,3.00E-06,3.00E-06,3.50E-06,3.50E-06,4.00E-06,4.00E-06,4.00E-06,4.50E-06,4.50E-06,5.00E-06,5.00E-06,5.00E-06,5.50E-06,5.50E-06,6.00E-06,6.00E-06,6.00E-06,6.50E-06,6.50E-06,7.00E-06,7.00E-06,7.30E-06,7.53E-06,7.76E-06
Non-Annex_I,Rest South America,SUR,Suriname,2C,Production of metals,3.85E-03,3.85E-03,3.06E-03,3.87E-03,3.99E-03,2.43E-03,3.21E-03,3.50E-03,4.06E-03,3.77E-03,3.84E-03,2.84E-03,2.98E-03,2.35E-03,1.61E-03,2.02E-03,2.00E-03,1.33E-04,6.77E-04,1.96E-03,2.16E-03,2.12E-03,2.23E-03,2.07E-03,1.84E-03,1.94E-03,2.20E-03,2.20E-03,2.00E-03,4.13E-04,,,,,,,,,
Non-Annex_I,Rest South America,VEN,Venezuela,2C,Production of metals,1.36E-03,1.34E-03,1.37E-03,1.43E-03,2.59E-03,2.97E-03,2.72E-03,2.60E-03,3.97E-03,1.16E-02,1.97E-02,1.88E-02,1.64E-02,2.01E-02,2.38E-02,2.49E-02,2.53E-02,2.54E-02,2.39E-02,2.99E-02,3.10E-02,2.94E-02,2.41E-02,2.02E-02,1.83E-02,1.76E-02,1.58E-02,1.44E-02,1.21E-02,1.00E-02,8.33E-03,6.77E-03,5.46E-03,5.43E-03,5.59E-03,5.53E-03,5.50E-03,5.50E-03,5.50E-03
Non-Annex_I,Northern_Africa,EGY,Egypt,2C,Production of metals,,,,,,1.40E-04,3.78E-03,6.23E-03,7.07E-03,7.14E-03,8.12E-03,9.38E-03,9.80E-03,9.80E-03,8.96E-03,9.52E-03,7.95E-03,1.04E-02,9.92E-03,1.01E-02,9.71E-03,9.71E-03,9.58E-03,9.58E-03,1.03E-02,9.37E-03,1.23E-02,9.73E-03,1.06E-02,1.05E-02,1.05E-02,1.05E-02,1.07E-02,1.07E-02,1.19E-02,1.34E-02,1.38E-02,1.41E-02,1.42E-02
Non-Annex_I,Northern_Africa,TUN,Tunisia,2C,Production of metals,4.50E-07,2.00E-07,,9.00E-07,1.00E-07,1.00E-07,2.00E-07,7.50E-07,8.00E-07,2.50E-07,9.50E-07,1.35E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Annex_I,Western_Africa,CMR,Cameroon,2C,Production of metals,3.67E-03,3.55E-03,2.87E-03,3.09E-03,3.28E-03,3.60E-03,4.04E-03,3.96E-03,2.87E-03,3.39E-03,3.01E-03,1.44E-02,1.41E-02,1.18E-02,2.75E-02,1.80E-02,1.12E-02,1.74E-02,1.76E-02,1.92E-02,1.93E-02,1.84E-02,1.73E-02,1.77E-02,1.61E-02,1.29E-02,1.32E-02,1.30E-02,1.01E-02,9.42E-03,7.41E-03,5.41E-03,3.22E-03,3.70E-03,4.13E-03,4.33E-03,4.23E-03,4.18E-03,4.37E-03
Non-Annex_I,Western_Africa,GHA,Ghana,2C,Production of metals,6.78E-03,6.66E-03,7.98E-03,9.12E-03,9.42E-03,8.58E-03,9.12E-03,9.18E-03,6.66E-03,1.01E-02,1.13E-02,1.04E-02,1.13E-02,2.55E-03,2.73E-03,2.92E-03,7.36E-03,8.67E-03,9.13E-03,9.40E-03,9.48E-03,9.01E-03,8.72E-03,7.95E-03,5.98E-03,5.15E-03,4.65E-03,4.51E-03,1.43E-03,2.21E-03,2.33E-03,1.83E-03,9.95E-04,1.11E-04,,1.11E-04,6.80E-05,,
Non-Annex_I,Western_Africa,NGA,Nigeria,2C,Production of metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44E-05,1.50E-04,4.13E-04,,,,,,,,,1.00E-04
Non-Annex_I,Eastern_Africa,KEN,Kenya,2C,Production of metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-04,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05,5.00E-05
Non-Annex_I,Southern_Africa,MOZ,Mozambique,2C,Production of metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36E-04,1.50E-03,1.37E-03,2.04E-03,2.75E-03,2.78E-03,2.82E-03,2.82E-03,2.68E-03
Non-Annex_I,Southern_Africa,ZAF,South Africa,2C,Production of metals,,1.49E-03,2.32E-03,2.13E-03,2.88E-03,2.81E-03,2.81E-03,2.75E-03,2.80E-03,2.91E-03,2.90E-03,2.80E-03,3.52E-03,5.32E-03,5.48E-03,5.39E-03,5.52E-03,5.53E-03,5.47E-03,5.32E-03,5.43E-03,4.58E-03,3.85E-03,3.04E-03,2.15E-03,2.25E-03,6.01E-03,6.50E-03,6.13E-03,5.82E-03,5.27E-03,4.78E-03,4.67E-03,4.88E-03,5.73E-03,5.59E-03,6.16E-03,6.04E-03,5.36E-03
Annex_I,OECD_Europe,AUT,Austria,2C,Production of metals,1.20E-02,1.34E-02,1.56E-02,1.57E-02,1.68E-02,1.58E-02,2.00E-02,2.41E-02,2.20E-02,2.38E-02,2.28E-02,2.37E-02,2.37E-02,2.99E-02,2.84E-02,2.37E-02,2.33E-02,2.55E-02,2.95E-02,2.67E-02,1.56E-02,1.21E-02,2.30E-03,,,,4.88E-03,5.94E-03,6.32E-03,7.15E-03,7.91E-03,7.90E-03,7.50E-03,7.50E-03,7.50E-03,7.50E-03,7.50E-03,7.50E-03,7.50E-03
