# File: A44.flsp_bm2_state_comm.csv
# Title: Commercial floorspace by state
# Units: Billion m2
# Source: Written by LA144.Commercial.R from an earlier version of GCAM-USA
state,GCAM_sector,X1975,X1980,X1985,X1990,X1995,X2000,X2005,X2008
AK,comm,0.00505321,0.005398191,0.009820448,0.01022155,0.010520984,0.012603565,0.013446931,0.013821262
AL,comm,0.072051395,0.076263726,0.098189297,0.1158003,0.121323255,0.117509477,0.119969552,0.123464733
AR,comm,0.036844288,0.039009518,0.046215949,0.065261593,0.051590121,0.060756946,0.062978556,0.065055208
AZ,comm,0.03468755,0.041266754,0.065350149,0.103351813,0.097985067,0.117829039,0.136258997,0.148221455
CA,comm,0.289324683,0.317938353,0.487635656,0.553991233,0.551002958,0.682794382,0.718961831,0.734731196
CO,comm,0.039262439,0.043874173,0.065867135,0.092894479,0.085043413,0.098703742,0.106291356,0.112549934
CT,comm,0.06422947,0.064751973,0.075456444,0.074676564,0.071714218,0.083235516,0.084838148,0.085460659
DC,comm,0.012340323,0.011143809,0.013133322,0.013336617,0.010330109,0.012011103,0.012227589,0.012396177
DE,comm,0.010240479,0.010375759,0.012796601,0.01463903,0.013459312,0.016520792,0.017644606,0.018407295
FL,comm,0.148711829,0.170148141,0.234935195,0.28431389,0.265815221,0.337115194,0.37360055,0.387045774
GA,comm,0.088406967,0.095373103,0.123409776,0.142357214,0.134703456,0.172897858,0.191117259,0.203730573
HI,comm,0.011904065,0.012958997,0.019174454,0.020594423,0.020653562,0.024334782,0.02543046,0.025859564
IA,comm,0.070763984,0.071573625,0.075086344,0.083807609,0.067087448,0.078866537,0.079439307,0.080638849
ID,comm,0.012630788,0.014330409,0.020405405,0.028386947,0.026504537,0.029636893,0.032517477,0.034835518
IL,comm,0.24956005,0.252538727,0.277386614,0.271739163,0.244324454,0.294079171,0.299678302,0.303662411
IN,comm,0.118589383,0.121340043,0.132836651,0.13180096,0.119065272,0.144032659,0.147850525,0.151046972
KS,comm,0.056019214,0.058060474,0.064411774,0.074776148,0.061091127,0.072527068,0.073845764,0.07534338
KY,comm,0.067917975,0.071698132,0.091325429,0.105668836,0.109725722,0.106873453,0.110394369,0.113182754
LA,comm,0.066301927,0.071758057,0.087546769,0.117212745,0.090028232,0.10137876,0.102030092,0.100982544
MA,comm,0.119973273,0.119541555,0.138619507,0.136680891,0.133144441,0.155237799,0.15743391,0.15964339
MD,comm,0.072258986,0.073618572,0.09133776,0.105056966,0.09413639,0.111563763,0.117276654,0.118876086
ME,comm,0.022336957,0.023434328,0.027412504,0.027896017,0.027177316,0.031159981,0.031999722,0.032196361
MI,comm,0.20151058,0.204702201,0.220849564,0.22097642,0.198582719,0.235386098,0.238583892,0.236501588
MN,comm,0.096596739,0.100120511,0.111031458,0.13206206,0.108758458,0.132889252,0.137538045,0.140878
MO,comm,0.118109371,0.120771526,0.132683312,0.154433323,0.125741676,0.150991513,0.156393693,0.160425545
MS,comm,0.046994398,0.049367944,0.063970408,0.073814867,0.07658357,0.075183012,0.076550466,0.077608826
MT,comm,0.011358967,0.011943184,0.016880193,0.02253129,0.019759462,0.020600036,0.021318592,0.022076509
NC,comm,0.096840996,0.10268195,0.129438695,0.145747932,0.134644711,0.169730338,0.18212641,0.194262258
ND,comm,0.015693342,0.016033082,0.017963827,0.019279639,0.015150278,0.017269824,0.017112667,0.017275777
NE,comm,0.037904514,0.038560559,0.04204944,0.047638245,0.038614189,0.046146549,0.047180153,0.047994302
NH,comm,0.017264444,0.019182576,0.02349527,0.02519994,0.025160405,0.030263029,0.031750483,0.03224957
NJ,comm,0.12863555,0.129109893,0.153377509,0.198682945,0.169534705,0.179560521,0.183626622,0.184511782
NM,comm,0.017609764,0.019779968,0.029525988,0.042720504,0.038276123,0.041524526,0.043707582,0.045309097
NV,comm,0.009412144,0.012152736,0.01952229,0.033883712,0.034712458,0.046026284,0.054933947,0.059653953
NY,comm,0.315612205,0.30780384,0.360694234,0.461354685,0.386316406,0.404617559,0.411706486,0.414622119
OH,comm,0.238038344,0.238639605,0.261208373,0.257867954,0.229328956,0.268689918,0.271324317,0.272572971
OK,comm,0.047339657,0.051615334,0.0649698,0.087332258,0.067928124,0.078352675,0.080140842,0.082664684
OR,comm,0.031295067,0.035371326,0.04928993,0.052819671,0.054961528,0.0689108,0.072666327,0.075982868
PA,comm,0.208721195,0.207981403,0.238633112,0.304723055,0.256355825,0.261654865,0.264480174,0.267636665
RI,comm,0.019644695,0.019735669,0.022840021,0.022796653,0.021725438,0.025634694,0.025982423,0.025702176
SC,comm,0.050662657,0.054499714,0.068366838,0.076611603,0.069331916,0.084526491,0.089413523,0.094604159
SD,comm,0.016728846,0.016967751,0.018532265,0.021006115,0.017197786,0.02035356,0.021010471,0.021668943
TN,comm,0.083739079,0.089919361,0.116548501,0.139783959,0.149170933,0.150540843,0.158261705,0.164720933
TX,comm,0.214440608,0.242768278,0.323182202,0.471600428,0.388565033,0.475159037,0.517261409,0.551342663
UT,comm,0.018764868,0.022180826,0.033724872,0.048579319,0.044972944,0.051182673,0.057005438,0.062198384
VA,comm,0.088115773,0.093343002,0.118287078,0.136007499,0.123701136,0.149250851,0.158900884,0.163764975
VT,comm,0.009995689,0.010657112,0.012493883,0.012784713,0.012800377,0.014879738,0.015097139,0.015151666
WA,comm,0.048646583,0.055508548,0.081148059,0.090438205,0.095019859,0.118727219,0.125760321,0.131882169
WI,comm,0.101200672,0.104002672,0.115525388,0.116296192,0.105603918,0.127070371,0.131023434,0.133060791
WV,comm,0.032161399,0.034036248,0.039465867,0.039411627,0.034114826,0.037960358,0.037896452,0.038126551
WY,comm,0.005794727,0.00712861,0.010257501,0.01278988,0.010884992,0.011264953,0.011545095,0.012154891
