service,fuel,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
resid heating,delivered biomass,0.566783863,0.693292212,0.820068516,0.59326956,0.583263108,0.642380724,0.641375892,0.399837725,0.443024015,0.43190331,0.432844266,0.349402513,0.302192625,0.408029134,0.384060424,0.391942132
resid heating,delivered gas,2.921138811,3.036617811,3.123569893,3.249646847,3.218350517,3.275985695,3.581611611,3.30777394,2.892757506,3.0400827,3.126763699,3.117961206,3.341343489,3.473904458,3.319925883,3.424072668
resid heating,elect_td_bld,0.408097677,0.419543068,0.413825271,0.435549131,0.445317597,0.462487149,0.486172169,0.441699724,0.391052381,0.411319246,0.43199944,0.398630819,0.417884354,0.455622433,0.44330401,0.344606326
resid heating,refined liquids enduse,1.066000206,1.015741605,1.041789663,1.072105357,1.033961978,1.013508282,1.12065513,1.048341559,0.923802323,1.000565424,0.97923412,1.033312396,0.940519661,1.012664101,1.006441645,0.942762825
resid cooling,elect_td_bld,0.454472413,0.467218417,0.46085087,0.485043351,0.495921869,0.515042507,0.507310089,0.473249705,0.591863064,0.580065603,0.547901728,0.662897082,0.768740505,0.734791555,0.729978583,0.911744253
resid hot water,delivered gas,1.049916558,1.091422054,1.122674396,1.167989012,1.156740476,1.177455728,1.244538783,1.194210649,1.185556355,1.21603308,1.393858517,1.065220663,1.083615836,1.100799919,1.088181748,1.037200072
resid hot water,elect_td_bld,0.3338981,0.343262511,0.338584312,0.35635838,0.364350761,0.378398577,0.380482567,0.420666404,0.422759331,0.421865893,0.484682298,0.400902378,0.39793979,0.419318043,0.419075441,0.424245712
resid hot water,refined liquids enduse,0.139803306,0.133212014,0.136628153,0.140603981,0.135601571,0.132919119,0.147683234,0.187508246,0.194930765,0.21020282,0.211726296,0.154721772,0.143318602,0.140745124,0.141294687,0.141060208
resid lighting,elect_td_bld,0.647126317,0.665275437,0.656208644,0.69065648,0.706146475,0.73337248,0.782103054,0.733762399,0.737413062,0.758153277,0.779706306,0.758217731,0.820962343,0.853919846,0.815929368,0.806724245
resid appliances,delivered gas,0.16934138,0.176035815,0.181076516,0.188385324,0.186571044,0.189912214,0.199506217,0.236946557,0.237111271,0.247006719,0.244867037,0.256243591,0.262027857,0.267139009,0.267873714,0.274804754
resid appliances,elect_td_bld,0.871845038,0.896296555,0.88408126,0.930491326,0.951360321,0.988040728,0.993482258,1.04114935,0.972346462,0.970291554,0.958828025,1.014203534,1.017772428,1.056026652,1.048841149,1.069038735
resid appliances,refined liquids enduse,0.02621312,0.024977253,0.025617779,0.026363246,0.025425295,0.024922335,0.026061747,0.025569306,0.025425752,0.033632451,0.026465787,0.0229586,0.023036582,0.022765821,0.022723437,0.026704811
resid other appliances,elect_td_bld,0.287523363,0.295587162,0.291558713,0.306864161,0.313746489,0.325843219,0.338206726,0.231366522,0.253655599,0.253119536,0.273950864,0.267830129,0.293960505,0.32134005,0.509070049,0.470264245
resid other,delivered gas,0.076203621,0.079216117,0.081484432,0.084773396,0.08395697,0.085460496,0.085502664,0.113734348,0.104328959,0.104502843,0.056507778,0.086538616,0.094112474,0.093445558,0.042178154,0
resid other,elect_td_bld,0.317468193,0.326371816,0.321923815,0.338823285,0.34642239,0.359778964,0.412189448,0.528236813,0.689399681,0.739470644,0.821852593,0.829313997,0.956742652,1.059025181,1.001852477,1.121346458
resid other,refined liquids enduse,0.008737707,0.008325751,0.00853926,0.008787749,0.008475098,0.008307445,0.008687249,0.008523102,0.008475251,0.008408113,0.123507006,0.120739366,0.140773618,0.141138935,0.143539816,0.12764132
